dataset_name,model,train_accuracy,test_accuracy,train_precision_macro,test_precision_macro,train_recall_macro,test_recall_macro,train_f1_macro,test_f1_macro,best_cv_score,train_time,test_time
auto_dropna,logistic_regression,0.8057073466909532,0.7985436893203883,0.8225287230360699,0.820615404631798,0.8097510129900071,0.7956822612085769,0.814970356516945,0.8052894388837691,0.7978262871879893,0.2720334529876709,0.005828380584716797
auto_dropna,svm_linear,0.806314511232544,0.7961165048543689,0.8253146802116281,0.8222243813965541,0.8090618005436666,0.7929922027290447,0.8148119877474113,0.804575515456205,0.8014718614718614,2.5131659507751465,0.03057694435119629
auto_dropna,random_forest,0.8348512446873103,0.7888349514563107,0.8533363926584904,0.8206986794690944,0.8411515863831402,0.7805750487329434,0.8460624696339946,0.7964743914103316,0.8123883208989591,11.457335948944092,0.44887852668762207
auto_dropna,svm_rbf,0.8123861566484517,0.7815533980582524,0.8319128811979436,0.8044579145519047,0.8146266308163432,0.7819298245614035,0.8202764845257691,0.7886143005332774,0.7972110159344202,2.982229471206665,0.06317591667175293
auto_dropna,bagging,0.9993928354584092,0.7815533980582524,0.999563128003495,0.8046289598013736,0.9988344988344989,0.7686257309941521,0.9991976496033227,0.7833474142146065,0.7966086395873629,1.203831672668457,0.2809476852416992
auto_dropna,decision_tree,0.8312082574377656,0.7645631067961165,0.8489343404487443,0.7905985941152296,0.8341585793901333,0.7558771929824561,0.8402491247081869,0.7698289084250315,0.791144883485309,0.5676310062408447,0.005965232849121094
auto_dropna,sgd_classifier,0.777170613236187,0.75,0.7944751083489295,0.7723845716893303,0.7908714404908851,0.7520370370370371,0.7896094839994009,0.759422374992802,0.7759620521322649,0.21497726440429688,0.00603175163269043
auto_dropna,knn,1.0,0.7257281553398058,1.0,0.7637953827395796,1.0,0.7225243664717348,1.0,0.7364409733336178,0.7510822510822511,0.45056796073913574,0.05417037010192871
auto_dropna,adaline,0.7316332726168792,0.7014563106796117,0.7472664763980236,0.7233705211317152,0.7680177479712137,0.7179532163742691,0.7485258109009415,0.7172372217462906,0.7267937736022844,0.3139808177947998,0.010781049728393555
auto_imputed,logistic_regression,0.7991696938245978,0.7966804979253111,0.8194189440158771,0.8086349024060274,0.8059054581733864,0.7917796120999997,0.8112816894686729,0.7990772209150124,0.7950124486912051,0.309887170791626,0.0055332183837890625
auto_imputed,svm_linear,0.802283341982356,0.7863070539419087,0.8235038737489718,0.802402172350254,0.8083943737337228,0.7823970335379099,0.8135968778617881,0.7901815637314478,0.7955278917973219,2.8920230865478516,0.04109048843383789
auto_imputed,random_forest,0.8930980799169694,0.7821576763485477,0.9060408845217655,0.7996899614546673,0.8925375672526892,0.777284455240974,0.8985064990900394,0.7869392684610075,0.8090249646726331,11.793093204498291,0.24724721908569336
auto_imputed,svm_rbf,0.8111053450960042,0.7697095435684648,0.8332295039218929,0.7771637787981643,0.8182039419041556,0.7709699131722422,0.8224364135516615,0.7717594458047919,0.7908619877531795,4.019322872161865,0.08238434791564941
auto_imputed,bagging,1.0,0.7634854771784232,1.0,0.7768058983914944,1.0,0.7633010457268382,1.0,0.7688939909110889,0.7851530852567121,1.318678617477417,0.3680593967437744
auto_imputed,decision_tree,0.815256875973015,0.7531120331950207,0.8382255995267011,0.7794296140652484,0.8142356673476083,0.7564909715040966,0.8248666037935036,0.7662188430402795,0.7893116210214656,0.5786957740783691,0.004343986511230469
auto_imputed,sgd_classifier,0.7841203943954334,0.7531120331950207,0.8051329637835458,0.7669885669885671,0.7957621862541995,0.7603084761595902,0.7966116136147212,0.7607480048729623,0.7680263777673104,0.21091198921203613,0.005655765533447266
auto_imputed,knn,1.0,0.7344398340248963,1.0,0.7677184893179249,1.0,0.7352802780446316,1.0,0.7461503906459899,0.7353327501514031,0.47997307777404785,0.06990265846252441
auto_imputed,adaline,0.7285936689154126,0.7116182572614108,0.7507137085198288,0.7201071767738435,0.763969311565999,0.7404277342993101,0.7474302491258568,0.7246714195644793,0.7280627144875849,0.24501919746398926,0.011083602905273438
manual_dropna,random_forest,0.9449354180829368,0.8043478260869565,0.9518604134218215,0.8201782726112962,0.9423186330051226,0.8197137639614388,0.9468390387521747,0.8190422521256108,0.8096598639455783,11.472357749938965,0.44910168647766113
manual_dropna,decision_tree,0.8252889191026512,0.7907608695652174,0.8526686553881638,0.8124691763932269,0.815031686251146,0.8018785124785889,0.8310287474599573,0.8061220758590718,0.7885898766286176,0.5852432250976562,0.004365205764770508
manual_dropna,bagging,1.0,0.7880434782608695,1.0,0.8066861858776796,1.0,0.7970590733426763,1.0,0.8004164264943271,0.787909604519774,1.2848658561706543,0.29099249839782715
manual_dropna,logistic_regression,0.8116927260367097,0.782608695652174,0.8277629461051054,0.7921265636497425,0.8142786280048301,0.8125840517546467,0.819338538946382,0.8007551545933557,0.8014919866251585,0.249006986618042,0.006214618682861328
manual_dropna,svm_linear,0.8198504418762746,0.782608695652174,0.839228679008904,0.7999896889338828,0.8191036221977527,0.8030095836695402,0.8260511825703931,0.8001097463171668,0.8055690072639224,4.0337841510772705,0.025967836380004883
manual_dropna,svm_rbf,0.8157715839564922,0.7744565217391305,0.8390404548191434,0.7940464540769936,0.8159823624431927,0.7941981285655638,0.8228887971767421,0.7916206250450407,0.800122218378877,2.5572807788848877,0.05248308181762695
manual_dropna,sgd_classifier,0.787899388171312,0.75,0.8039761239195954,0.766810127093815,0.7976934377366053,0.7850724083747398,0.7968505723211009,0.7725913162744846,0.7797371151850571,0.25121068954467773,0.0068089962005615234
manual_dropna,knn,1.0,0.7364130434782609,1.0,0.7661073494406828,1.0,0.7502965699806062,1.0,0.7501348952419082,0.7538821630347053,0.5010738372802734,0.03447532653808594
manual_dropna,adaline,0.7396329027872196,0.7092391304347826,0.7653681825386544,0.7334269242288111,0.7682882376096475,0.7588128707124757,0.7524626940456128,0.7278575278575278,0.734165801913986,0.27437496185302734,0.011803150177001953
manual_imputed,svm_linear,0.8033212247016087,0.7800829875518672,0.8236699888411892,0.8005197406065229,0.8083235605280766,0.7789643082232435,0.8134287885586474,0.7877767537122375,0.8012435233160622,6.728754281997681,0.0413057804107666
manual_imputed,svm_rbf,0.802283341982356,0.7676348547717843,0.8252485042682577,0.7935412626589097,0.8079156103614089,0.7677195322682299,0.8133950023275726,0.7773550301938638,0.7882726599825045,4.1256701946258545,0.08370566368103027
manual_imputed,logistic_regression,0.8017644006227296,0.7655601659751037,0.8209132346486477,0.7840857818026769,0.8076672501205948,0.76627597235055,0.8123757044399221,0.7741061648926854,0.7955319292106857,0.32442736625671387,0.0054700374603271484
manual_imputed,random_forest,0.926829268292683,0.7551867219917012,0.935145419783118,0.7789249426417569,0.9236670313173652,0.7544640726440551,0.928997770558098,0.7652521958270023,0.8111069241639189,12.433954000473022,0.4741659164428711
manual_imputed,bagging,1.0,0.7531120331950207,1.0,0.7639582775226533,1.0,0.7550311963955364,1.0,0.7586818000796495,0.7939761792611534,1.2414414882659912,0.3424508571624756
