,AGE,MMSE,ADAS13,MOCA,FAQ,Hippocampus,Ventricles,WholeBrain
AGE,1.0,-0.1725720394139024,0.21163858263450736,-0.23355968094124088,0.14181571279081087,-0.3878045616257658,0.35536939740143303,-0.26329987875282906
MMSE,-0.1725720394139024,1.0,-0.7469338702345084,0.7115590717427871,-0.6627254102196718,0.4959209502302894,-0.26606404665501365,0.22113705804505163
ADAS13,0.21163858263450736,-0.7469338702345084,1.0,-0.7849746334753249,0.7017970244936916,-0.5605931369056856,0.32413251823562256,-0.23065756555012892
MOCA,-0.23355968094124088,0.7115590717427871,-0.7849746334753249,1.0,-0.620434965821097,0.46826990719332745,-0.28268574673401814,0.21833297962166304
FAQ,0.14181571279081087,-0.6627254102196718,0.7017970244936916,-0.620434965821097,1.0,-0.4639570911337316,0.28367334420938906,-0.2185490729617803
Hippocampus,-0.3878045616257658,0.4959209502302894,-0.5605931369056856,0.46826990719332745,-0.4639570911337316,1.0,-0.2782468387749402,0.5915446868505401
Ventricles,0.35536939740143303,-0.26606404665501365,0.32413251823562256,-0.28268574673401814,0.28367334420938906,-0.2782468387749402,1.0,0.09429911919626886
WholeBrain,-0.26329987875282906,0.22113705804505163,-0.23065756555012892,0.21833297962166304,-0.2185490729617803,0.5915446868505401,0.09429911919626886,1.0
