,count,mean,std,min,25%,50%,75%,max
EcogPtTotal_bl,1598.0,1.6512552816020023,0.5452248267192377,1.0,1.23684,1.50641,1.8974400000000002,3.8529400000000003
EcogSPMem_bl,1576.0,1.9789128553299493,0.9173734103748735,1.0,1.25,1.625,2.625,4.0
EcogSPLang_bl,1578.0,1.5572816920152093,0.7182379266225436,1.0,1.0,1.22222,1.77778,4.0
EcogSPVisspat_bl,1552.0,1.4256643298969074,0.6828788313668,1.0,1.0,1.14286,1.5714299999999999,4.0
EcogSPPlan_bl,1565.0,1.514877520766773,0.7585879788164632,1.0,1.0,1.2,1.8,4.0
EcogSPOrgan_bl,1511.0,1.5892125612177368,0.8318493128815948,1.0,1.0,1.16667,2.0,4.0
EcogSPDivatt_bl,1548.0,1.7809539018087854,0.9069444340030557,1.0,1.0,1.5,2.25,4.0
EcogSPTotal_bl,1576.0,1.649532404822335,0.721366917308322,1.0,1.08333,1.35897,2.0,3.94872
FDG_bl,1515.0,1.198507001320132,0.16184800200192725,0.621933,1.09805,1.20498,1.31014,1.77617
PIB_bl,20.0,1.6983749999999997,0.3723019386904017,1.155,1.3618750000000002,1.74375,1.9562499999999998,2.2825
AV45_bl,1133.0,1.208541571050309,0.23192923804334603,0.81,1.0182,1.1265,1.3892,2.0101
FBB_bl,346.0,1.1641488439306358,0.23664793200722736,0.8702,0.9948,1.04975,1.32325,1.909
Years_bl,2430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month_bl,2430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,2430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,2430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
